feature,delta_mse,t_stat,p_value,significant
poly A/T,0.0003682881360873,16.41852491988731,8.8988045173284e-61,True
C-rich,0.0765276104211807,119.06136184488122,0.0,True
DRACH,-2.3012191111004828e-11,-0.2590529840311509,0.6022024794325667,False
Motif 3,-4.436508970684372e-05,-2.9731425635987283,0.9985257138477536,False
CFIm,0.0002924847067333,24.50614744602877,2.0051962495110148e-132,True
Alt. CSE 1,2.9192739020800215e-05,3.879243105714788,5.243382376414357e-05,True
Motif 6,1.2134704352462222e-10,1.0776076902144591,0.1406060945929842,False
Motif 7,5.14338280481752e-05,11.39087927719481,2.4514969446434123e-30,True
Motif 8,0.0,,,False
CstF,0.0008213748224079,29.429669827971995,1.242527982579954e-189,True
RBM4/FUS,0.0002417615469312,19.80108167303935,2.3822366545004512e-87,True
Alt. CSE 2,0.0001889528793981,13.23554316259202,3.019504802983877e-40,True
Motif 12,6.645092798862606e-05,3.987970116651801,3.335076474462681e-05,True
hnRNP H,-1.488042289565783e-05,-0.985703447006298,0.8378591481409763,False
FIP1,-8.179590622603428e-06,-0.8869978080257941,0.8124585973242994,False
CSE,0.0275771636515855,110.08720889925982,0.0,True
