feature_i,feature_j,delta_mse,t_stat,p_value,significant
poly A/T,poly A/T,-1.5836032138394348e-11,-0.743070613477225,0.771279420147807,False
poly A/T,C-rich,7.170390017563477e-05,12.335441688002694,3.1450934607540544e-35,True
poly A/T,DRACH,0.0001127868454204,12.635737865352477,7.281852919510693e-37,True
poly A/T,Motif 3,-1.90847511405412e-12,-0.5490496134867294,0.7085135159064898,False
poly A/T,CFIm,0.0003491770476102,23.266561349483403,1.2315968749847665e-119,True
poly A/T,Alt. CSE 1,4.114972685514973e-12,1.3153165275057843,0.094203698980972,False
poly A/T,Motif 6,2.140013426882304e-12,0.3526563876687355,0.3621735040762388,False
poly A/T,Motif 7,5.012346440680382e-12,1.0153279932748804,0.1549763212429924,False
poly A/T,Motif 8,-8.302258186487776e-12,-0.6014759898182017,0.726237629683267,False
poly A/T,CstF,6.337666502709283e-12,0.5563107547641188,0.289000013135854,False
poly A/T,RBM4/FUS,-2.789807447556303e-12,-0.5183564437708698,0.6978944683774835,False
poly A/T,Alt. CSE 2,1.2232241044726757e-12,0.1590348306752147,0.4368209211788462,False
poly A/T,Motif 12,2.4653222172044128e-11,1.4542340050763485,0.0729427245308448,False
poly A/T,hnRNP H,7.341993477893993e-05,8.046228874050009,4.328482940836299e-16,True
poly A/T,FIP1,4.26298555566973e-07,9.615480303738613,3.536557715290681e-22,True
poly A/T,CSE,3.0621707426681244e-12,0.8702883371152113,0.1920727596554731,False
C-rich,C-rich,-2.2408925843403482e-12,-0.4868751978424598,0.6868259303569926,False
C-rich,DRACH,-7.364219456462706e-09,-3.013380023704176,0.9987078111606148,False
C-rich,Motif 3,8.472014322719046e-13,0.1245389158504863,0.4504444547775036,False
C-rich,CFIm,5.61869832344658e-13,0.056492197416817,0.4774749276621225,False
C-rich,Alt. CSE 1,9.091444611031284e-12,0.9435993769204444,0.1726886613187341,False
C-rich,Motif 6,-6.560703091906817e-10,-0.761947802851586,0.7769532733767346,False
C-rich,Motif 7,6.800871778978035e-05,20.65936077185385,7.198507259494158e-95,True
C-rich,Motif 8,0.0,,,False
C-rich,CstF,-4.306152222993687e-12,-0.5449176836953222,0.7070941572009637,False
C-rich,RBM4/FUS,1.1515267038519904e-11,1.0007718337990898,0.1584701113781377,False
C-rich,Alt. CSE 2,4.993729388336199e-11,0.5793057104185955,0.2811922899505077,False
C-rich,Motif 12,1.72074727800009e-08,7.2564038835689955,2.005921172840695e-13,True
C-rich,hnRNP H,1.3011340269097891e-11,1.4704395464514444,0.0707233831050824,False
C-rich,FIP1,-5.964259034568764e-12,-1.431985385617133,0.92392400194224,False
C-rich,CSE,-6.454775516168132e-12,-1.7745912242505018,0.9620153537824484,False
DRACH,DRACH,-1.8042793821504421e-12,-0.3922895483900571,0.6525773234459973,False
DRACH,Motif 3,-4.654979960522221e-12,-0.6445376383787009,0.7403856263211928,False
DRACH,CFIm,0.0002379545912845,19.400382636572875,6.026462127731017e-84,True
DRACH,Alt. CSE 1,-8.272799112418737e-10,-1.860992287791595,0.9686254942360448,False
DRACH,Motif 6,8.003574365755828e-12,0.4723540323967657,0.3183377129104449,False
DRACH,Motif 7,-7.650489399976812e-13,-0.3418353547833089,0.6337621405887499,False
DRACH,Motif 8,7.68468535333744e-12,0.2010249794893929,0.4203397820827089,False
DRACH,CstF,-3.867006020952246e-11,-2.666254025740036,0.9961641267091,False
DRACH,RBM4/FUS,-2.125325249124898e-09,-2.054669224415659,0.9800428620906714,False
DRACH,Alt. CSE 2,-5.584104556533021e-08,-8.907870484453003,1.0,False
DRACH,Motif 12,-2.327676051905314e-09,-1.5907929016163105,0.9441698856998324,False
DRACH,hnRNP H,3.083060716446706e-12,0.3053165520873949,0.3800629411848963,False
DRACH,FIP1,-2.818444366781136e-09,-0.1660293081053139,0.565932842770568,False
DRACH,CSE,2.201759261022396e-11,1.906094321929832,0.028320813731086,False
Motif 3,Motif 3,1.3493726101765358e-11,0.5233162385283822,0.300377841819234,False
Motif 3,CFIm,4.0899280490114265e-12,0.5842791572945124,0.2795170980705522,False
Motif 3,Alt. CSE 1,-2.8781309083569795e-05,-3.5296867954491478,0.9997918547687444,False
Motif 3,Motif 6,-5.399037120157324e-12,-1.4109225997406638,0.9208642944392323,False
Motif 3,Motif 7,3.718676842151547e-12,0.2263526765081879,0.410463861170679,False
Motif 3,Motif 8,0.0,,,False
Motif 3,CstF,8.536220341692768e-12,0.3932063297256229,0.3470840828584323,False
Motif 3,RBM4/FUS,-3.1056682558983084e-08,-11.02819879371229,1.0,False
Motif 3,Alt. CSE 2,3.3976740691776808e-12,0.3752904352897309,0.3537227477125982,False
Motif 3,Motif 12,3.5737335313257285e-10,2.517867321908106,0.0059043784368822,False
Motif 3,hnRNP H,-2.543143994004904e-11,-0.4908718207738889,0.6882407577025484,False
Motif 3,FIP1,1.1000703352692651e-06,9.337904703202591,5.0364054685765006e-21,True
Motif 3,CSE,-1.3047993241421809e-11,-1.3509828077779118,0.9116475778489824,False
CFIm,CFIm,-1.6103432823322272e-11,-1.767163103409892,0.9613975939348878,False
CFIm,Alt. CSE 1,-7.277090171772804e-13,-0.2871773502281695,0.6130113559210203,False
CFIm,Motif 6,0.0003078901499975,15.984929206611362,1.0035769942425264e-57,True
CFIm,Motif 7,1.3786787683711664e-11,1.7219693325033052,0.0425395119738566,False
CFIm,Motif 8,-2.0528462610358567e-11,-0.3785584063079248,0.6474915796930696,False
CFIm,CstF,2.7210506417518765e-11,0.9733154409294904,0.1651997788670072,False
CFIm,RBM4/FUS,6.411156328045564e-12,1.824787338113674,0.0340184681108632,False
CFIm,Alt. CSE 2,1.6298894525701435e-11,0.9042766672234416,0.1829257491997008,False
CFIm,Motif 12,-3.121412503470644e-11,-1.1204140641533236,0.8687296043141738,False
CFIm,hnRNP H,-2.8921058969899605e-07,-14.27035251075942,1.0,False
CFIm,FIP1,-3.2151692863635624e-08,-1.1236986311614747,0.8694278285463232,False
CFIm,CSE,0.0089235519990324,73.59484022429494,0.0,True
Alt. CSE 1,Alt. CSE 1,-8.156061546624184e-13,-0.6350336980467143,0.7372958533839349,False
Alt. CSE 1,Motif 6,7.890885861394636e-12,1.632797482979338,0.051257809058484,False
Alt. CSE 1,Motif 7,8.747275907078357e-13,0.2852186691640083,0.3877386863557173,False
Alt. CSE 1,Motif 8,0.0,,,False
Alt. CSE 1,CstF,9.37770555653472e-11,0.6886029123459924,0.2455376141556507,False
Alt. CSE 1,RBM4/FUS,4.842828612086625e-13,0.1155163290221982,0.4540180873471188,False
Alt. CSE 1,Alt. CSE 2,-1.5014750510619625e-12,-0.1597303870143766,0.5634530625440191,False
Alt. CSE 1,Motif 12,4.961178169671232e-12,0.8734252643617567,0.1912170021560162,False
Alt. CSE 1,hnRNP H,-8.124468979520127e-12,-1.1641305043704355,0.8778126620862396,False
Alt. CSE 1,FIP1,-2.639023666262119e-09,-3.443863983382724,0.9997131179358012,False
Alt. CSE 1,CSE,3.4368987690547304e-12,0.6262204455727197,0.2655860921224706,False
Motif 6,Motif 6,1.9331650863430028e-11,0.8635037607584307,0.193931598980502,False
Motif 6,Motif 7,-3.046874558210177e-11,-1.8575943984899863,0.968384806740092,False
Motif 6,Motif 8,6.352554333260985e-12,0.9658378829807354,0.1670641461958393,False
Motif 6,CstF,-7.313738503711421e-09,-0.7153664523042957,0.7628076150992587,False
Motif 6,RBM4/FUS,-9.61167126792284e-13,-0.2937529092647186,0.6155262500605259,False
Motif 6,Alt. CSE 2,3.657436172943562e-05,3.384589879583188,0.0003565981900256,True
Motif 6,Motif 12,-2.061918280560349e-08,-6.215765455638289,0.9999999997433424,False
Motif 6,hnRNP H,-1.2547204594759442e-11,-0.7334037952309603,0.7683428094083621,False
Motif 6,FIP1,7.333098538120364e-12,0.2423253296728218,0.4042643615378766,False
Motif 6,CSE,0.0072624157182872,67.29389470952256,0.0,True
