feature,delta_mse,t_stat,p_value,significant
poly A/T,0.0005153145757503,26.165718302082603,1.452105651982897e-150,True
C-rich,0.039571888744831,94.28353636523131,0.0,True
DRACH,-2.6755741719397538e-11,-0.4020344670254128,0.6561701210152602,False
Motif 3,6.844066228950396e-05,13.161196979876523,8.082654781507292e-40,True
CFIm,0.0003226942790206,25.957867375355143,3.1459090047580474e-148,True
Alt. CSE 1,0.0001481832878198,18.240094523209866,1.767937434651946e-74,True
Motif 6,-7.724123424202034e-11,-1.2363982174515844,0.8918428561974311,False
Motif 7,-0.0001021903735818,-21.539177075775537,1.0,False
Motif 8,3.263644996615023e-12,0.2953527896944551,0.3838625885100937,False
CstF,0.0008115925011225,43.49383586674404,0.0,True
RBM4/FUS,0.0003644293756224,31.67678438032479,3.957472761024747e-219,True
Alt. CSE 2,0.000192738007172,11.254931301556349,1.1534178325178769e-29,True
Motif 12,0.0001187146044685,14.419404016678785,2.245107708937135e-47,True
hnRNP H,-6.374441727530211e-05,-7.468868438737622,0.9999999999999593,False
FIP1,0.0001733020471874,27.711315264979053,1.6643767501372623e-168,True
CSE,0.0045574256218969,64.06071382000705,0.0,True
