feature_i,feature_j,delta_mse,t_stat,p_value,significant
poly A/T,poly A/T,0.0012838303809985,45.4832292562538,0.0,True
poly A/T,C-rich,0.001301895477809,45.71700418935778,0.0,True
poly A/T,DRACH,0.0019088750705122,56.09652962797678,0.0,True
poly A/T,Motif 3,0.0012168099638074,43.96979259591108,0.0,True
poly A/T,CFIm,0.0056855650618672,76.53081417055314,0.0,True
poly A/T,Alt. CSE 1,0.0010213957866653,38.691834744525394,0.0,True
poly A/T,Motif 6,0.0048326854594051,56.29346964135221,0.0,True
poly A/T,Motif 7,0.0016817613504827,48.79327767808204,0.0,True
poly A/T,Motif 8,0.0012603955110535,44.95040477651769,0.0,True
poly A/T,CstF,0.0208731293678283,124.18173814385274,0.0,True
poly A/T,RBM4/FUS,0.0012703032698482,45.1705952268482,0.0,True
poly A/T,Alt. CSE 2,0.0013319946592673,42.05468229393942,0.0,True
poly A/T,Motif 12,0.0017752561252564,54.085945819548655,0.0,True
poly A/T,hnRNP H,0.002547837793827,58.945343808405205,0.0,True
poly A/T,FIP1,0.0017655380070209,51.80074326011395,0.0,True
poly A/T,CSE,0.0720320418477058,167.70761086979513,0.0,True
C-rich,C-rich,6.115474388934672e-05,12.617730414515092,9.149547512970248e-37,True
C-rich,DRACH,0.0002877212536986,22.90826371522158,4.628048018067992e-116,True
C-rich,Motif 3,8.388076821574941e-05,12.997384334391864,6.940487173286826e-39,True
C-rich,CFIm,0.006033465731889,75.3351711340634,0.0,True
C-rich,Alt. CSE 1,-3.0256624086177908e-05,-4.050626443484927,0.9999744350641864,False
C-rich,Motif 6,0.0032795753795653,46.27950871652082,0.0,True
C-rich,Motif 7,0.0003701603272929,19.185170812210927,3.7977908191058665e-82,True
C-rich,Motif 8,6.416303222067654e-05,12.830065103939482,6.071992422889865e-38,True
C-rich,CstF,0.0137822264805436,115.38140812387437,0.0,True
C-rich,RBM4/FUS,6.673691677860916e-05,13.075628394676734,2.4933619847503407e-39,True
C-rich,Alt. CSE 2,0.000528898963239,23.1022459964537,5.453814543523194e-118,True
C-rich,Motif 12,0.0003784945583902,24.836205061857704,6.12735639476004e-136,True
C-rich,hnRNP H,0.0015351871261373,41.86341982490635,0.0,True
C-rich,FIP1,0.0003070906968787,17.29637107815653,3.337428215019648e-67,True
C-rich,CSE,0.0596022382378578,161.13132232046613,0.0,True
DRACH,DRACH,0.0001987882715184,17.556315137909344,3.608303642827624e-69,True
DRACH,Motif 3,0.0001940317888511,16.787509178614386,1.9432165051802614e-63,True
DRACH,CFIm,0.0062697026878595,76.84572349256997,0.0,True
DRACH,Alt. CSE 1,8.11402132967487e-05,6.699017000754221,1.0561968384697064e-11,True
DRACH,Motif 6,0.0034177871420979,46.57207708228073,0.0,True
DRACH,Motif 7,0.0005612227250821,25.42714890711329,2.392845144199028e-142,True
DRACH,Motif 8,0.0001967891585081,17.66863333088946,4.998396840442664e-70,True
DRACH,CstF,0.0156638566404581,118.9202523501608,0.0,True
DRACH,RBM4/FUS,0.0002106890315189,18.826537107237737,3.4218345126975674e-79,True
DRACH,Alt. CSE 2,0.0005571792135015,22.934676251528277,2.5335375588456217e-116,True
DRACH,Motif 12,0.0005346199031919,29.942606456692765,3.5275298733368773e-196,True
DRACH,hnRNP H,0.0018905918113887,47.67028053159698,0.0,True
DRACH,FIP1,0.0004554618499241,22.25230864928275,1.1718512679310398e-109,True
DRACH,CSE,0.062523253262043,162.82793351458218,0.0,True
Motif 3,Motif 3,1.4441769053519238e-05,3.614423962825361,0.0001506023816515,True
Motif 3,CFIm,0.0060236430726945,76.09145382392516,0.0,True
Motif 3,Alt. CSE 1,-8.056738442974165e-05,-13.041302735251003,1.0,False
Motif 3,Motif 6,0.0032797863241285,45.92843400200801,0.0,True
Motif 3,Motif 7,0.0003383134899195,17.464336812388986,1.8042385556720401e-68,True
Motif 3,Motif 8,2.5358807761222124e-05,6.300810093733117,1.4883106634185963e-10,True
Motif 3,CstF,0.0135275358334183,114.8225932040168,0.0,True
Motif 3,RBM4/FUS,1.6001304175006226e-05,3.982748449069895,3.409218104858197e-05,True
Motif 3,Alt. CSE 2,0.0004999542725272,21.400999068120772,1.2780368625511515e-101,True
Motif 3,Motif 12,0.0002846291172318,20.804401298720208,3.59300397475864e-96,True
Motif 3,hnRNP H,0.0014260469470173,38.907798922487125,0.0,True
Motif 3,FIP1,0.0002599630388431,14.97669672555784,6.12913286818377e-51,True
Motif 3,CSE,0.0584602877497673,161.04105741657867,0.0,True
CFIm,CFIm,0.0058728060685098,74.6977562749518,0.0,True
CFIm,Alt. CSE 1,0.0058874627575278,74.80270131919504,0.0,True
CFIm,Motif 6,0.0086724264547228,81.64942787392745,0.0,True
CFIm,Motif 7,0.0063861119560897,76.47715265713359,0.0,True
CFIm,Motif 8,0.0058190547861158,74.45442011095813,0.0,True
CFIm,CstF,0.0193008948117494,117.53260487457996,0.0,True
CFIm,RBM4/FUS,0.0057743526995182,74.85670612535444,0.0,True
CFIm,Alt. CSE 2,0.0067428089678287,77.47495130909815,0.0,True
CFIm,Motif 12,0.0062064663507044,75.38278892338597,0.0,True
CFIm,hnRNP H,0.0075416113249957,82.01426343606812,0.0,True
CFIm,FIP1,0.0061652506701648,75.75517909872266,0.0,True
CFIm,CSE,0.0584796592593193,157.0756930820806,0.0,True
Alt. CSE 1,Alt. CSE 1,-8.631960372440517e-05,-15.131502194610254,1.0,False
Alt. CSE 1,Motif 6,0.0030476956162601,44.05212979938007,0.0,True
Alt. CSE 1,Motif 7,0.0002253968559671,11.838530765587,1.3146197314610814e-32,True
Alt. CSE 1,Motif 8,-8.204375626519322e-05,-14.12231452058766,1.0,False
Alt. CSE 1,CstF,0.0129554960876703,113.22300280573089,0.0,True
Alt. CSE 1,RBM4/FUS,-8.190814696718007e-05,-14.31115620261456,1.0,False
Alt. CSE 1,Alt. CSE 2,0.0004580388776957,19.209036332079076,2.4041261974323364e-82,True
Alt. CSE 1,Motif 12,0.0001466657558921,10.8072387985043,1.66248221326134e-27,True
Alt. CSE 1,hnRNP H,0.0012686731060966,35.90328100662184,2.6044562476873977e-280,True
Alt. CSE 1,FIP1,0.0001632470230106,9.177104656790831,2.2660865938988436e-20,True
Alt. CSE 1,CSE,0.0584645420312881,161.30765118015913,0.0,True
Motif 6,Motif 6,0.0032076956704258,45.42157851149483,0.0,True
Motif 6,Motif 7,0.0035177587997168,47.635027097849054,0.0,True
Motif 6,Motif 8,0.0031634599436074,44.77341601695987,0.0,True
Motif 6,CstF,0.0181355532258749,112.2187071166396,0.0,True
Motif 6,RBM4/FUS,0.0032311719842255,45.14565712733313,0.0,True
Motif 6,Alt. CSE 2,0.003540460485965,49.59018360951194,0.0,True
Motif 6,Motif 12,0.003465304384008,46.94546896328722,0.0,True
Motif 6,hnRNP H,0.0048788799904286,56.87494535997211,0.0,True
Motif 6,FIP1,0.0032897454220801,46.94101230104497,0.0,True
Motif 6,CSE,0.0542052574455738,158.04446011926797,0.0,True
Motif 7,Motif 7,0.0003294678172096,17.538043255364823,4.9710559838598e-69,True
Motif 7,Motif 8,0.000323201122228,17.190384881018833,2.073718483512941e-66,True
Motif 7,CstF,0.0145572703331708,116.9317312062088,0.0,True
