filter,delta_mse,t_stat,p_value,significant
0,0.0108164027333259,39.8987631921828,0.0,True
1,0.001275437651202,13.511052524308544,8.017371985215211e-42,True
2,0.0010169236920773,11.982176259255906,2.456039891131295e-33,True
3,0.003229773370549,23.592346524668805,1.1532313267588312e-122,True
4,0.0152528770267963,46.2362757370794,0.0,True
5,0.0012617582688108,14.125029817552518,1.6409093283186868e-45,True
6,0.0031725352164357,20.686543533446653,5.939669629967712e-95,True
7,0.0077082407660782,33.82163607767546,3.953532220777698e-248,True
8,0.0059291245415806,29.416206754990966,8.133175840294658e-189,True
9,0.0007706659380346,10.235842470656404,7.2605365891275215e-25,True
10,0.0066778436303138,31.24237676175415,1.9216698412130425e-212,True
11,0.0007689718622714,12.519885898607347,3.307438294488999e-36,True
12,0.0037618861533701,23.18894965455733,1.3211442536723848e-118,True
13,0.0061385366134345,29.924024416823286,3.0019779412372442e-195,True
14,0.0006168666295707,8.930751881258741,2.18867068994486e-19,True
15,0.0068708988837897,32.97368302354607,4.23871362951955e-236,True
16,0.004691966343671,25.67078372763342,1.175648806316697e-144,True
17,0.0019679681863635,15.746940539249248,4.973374901413539e-56,True
18,0.0036569910589605,22.546731863724524,2.768667186718944e-112,True
19,0.0004309231007937,8.440423804429882,1.62448279934101e-17,True
20,0.0073428899049758,31.788375105837154,9.013588295830426e-220,True
21,0.0110535668209195,43.50938907031614,0.0,True
22,0.0013918768381699,12.9257669468025,1.8651655693084982e-38,True
23,0.0006395541131496,9.885356294135024,2.534679659038883e-23,True
24,0.0002516696695238,5.162122937313238,1.2256851321092102e-07,True
25,0.0174996145069599,47.44242228272766,0.0,True
26,0.0021589973475784,17.715887053358376,2.6446830585427985e-70,True
27,0.0087893027812242,35.495828029834364,9.829443872992468e-273,True
28,0.0046419058926403,25.214844007076607,1.1189739326833098e-139,True
29,0.0012385073350742,12.615782077377158,9.87490176657305e-37,True
30,0.0017564743757247,14.127414165627131,1.5865182674169482e-45,True
31,0.0090721575543284,37.278427095397184,3.623457191863633e-300,True
32,0.008914434351027,32.037738338430444,3.692794702955078e-223,True
33,0.0183558408170938,45.39856788705024,0.0,True
34,0.0023246924392879,14.777057068461405,1.322438993810195e-49,True
35,0.0035347056109458,19.959968081319232,1.403676536422444e-88,True
